timestamp,USCPI_zmiana,ropaNaftowa_zmiana,oczekiwania,wydatkiKonsumentow_zmiana,stopaBezrobocia
2015-01-01,-0.0063703164417655556,-0.10589335827876523,2.5,-0.0024305354618430197,5.7
2015-02-01,0.0025346436802173855,0.04289600334798083,2.8,0.004135347692409752,5.5
2015-03-01,0.0026939517808124425,-0.04253611556982351,3.0,0.004910618490335583,5.4
2015-04-01,0.0010424788961589382,0.24937133277451795,2.6,0.0027102274127184245,5.4
2015-05-01,0.003297745341246827,0.010566923851056842,2.8,0.005430375703368684,5.6
2015-06-01,0.0027679208104607333,-0.012780082987551955,2.7,0.002647571565896012,5.3
2015-07-01,0.0015863197801873063,-0.20796906523201075,2.8,0.004631171848975102,5.2
2015-08-01,-4.20108051790713e-06,0.044364253873912185,2.8,0.002531358927286176,5.1
2015-09-01,-0.002247587519377592,-0.0841463414634146,2.8,-0.0007905648505187601,5.0
2015-10-01,0.0009894820166906904,0.03417665335108744,2.7,0.0006862365174706841,5.0
2015-11-01,0.0011946174910508756,-0.13240343347639483,2.7,0.002283197121396796,5.1
2015-12-01,-0.0010755534268560574,-0.08162255750680181,2.6,0.002318243286753674,5.0
2016-01-01,-0.0004584435630738959,-0.09345542687853503,2.5,0.0020880179890780948,4.8
2016-02-01,-0.0013296753235823022,-0.027332144979203665,2.5,0.006130790190735702,4.9
2016-03-01,0.0031347962382444194,0.12828344532681712,2.7,-0.0013939224979091502,5.0
2016-04-01,0.0038306451612901693,0.2447211694639957,2.8,0.00594241046502364,5.1
2016-05-01,0.0023640958693178504,0.0678555893866899,2.4,0.003266859612258699,4.8
2016-06-01,0.002775957287827202,-0.01690427698574337,2.6,0.0062042093782355145,4.9
2016-07-01,-0.0005037007434789409,-0.13942407292314074,2.7,0.002002953374387273,4.8
2016-08-01,0.0018492217858316895,0.07558979297063084,2.5,0.0024614516293397504,4.9
2016-09-01,0.0026232097944252075,0.0680393912264996,2.4,0.0045745654162854255,5.0
2016-10-01,0.0023426874979268764,-0.018650461022632014,2.4,0.0015879688010835835,4.9
2016-11-01,0.0011789477167711837,0.05509288917360666,2.4,0.0020206730395586625,4.7
2016-12-01,0.002524522158776188,0.08783647035013153,2.2,0.00875668967656873,4.7
2017-01-01,0.004043076694815628,-0.018604651162790753,2.6,0.00444413689171852,4.7
2017-02-01,0.0015926573570097524,0.023696682464454888,2.7,0.0018907353965567086,4.6
2017-03-01,-0.00046720162618951733,-0.06407407407407406,2.5,0.003934781944317178,4.4
2017-04-01,0.001234152821740775,-0.02433715868618913,2.5,0.0022298495422341524,4.4
2017-05-01,-0.0007739779600562935,-0.020685459338876555,2.6,0.0002050238435136187,4.4
2017-06-01,0.0006516286618252209,-0.04700766204183049,2.6,0.004046492912943567,4.3
2017-07-01,0.0003276499715354486,0.09104737070838764,2.6,0.0028808638054622637,4.3
2017-08-01,0.0038486261632881824,-0.05875323640709029,2.6,0.0023598953503276565,4.4
2017-09-01,0.005106389920997767,0.09331358442657645,2.7,0.009229311148887476,4.3
2017-10-01,0.0007750522450138408,0.052061157344687414,2.4,0.00225082542687427,4.2
2017-11-01,0.002668007428251684,0.05592347314201618,2.5,0.006923219929354962,4.2
2017-12-01,0.0021068892447551058,0.05331010452961671,2.7,0.00926842237419323,4.1
2018-01-01,0.004253344363511546,0.07211379424412812,2.7,0.002722064085584064,4.0
2018-02-01,0.0026922876006090224,-0.052298673248997174,2.7,0.0025833193464348536,4.1
2018-03-01,0.000192362410782021,0.05599869770470467,2.8,0.003966896431248923,4.0
